#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
5.200036014272227902e+01,4.698000000000000000e+03,1.140000000000000000e+03,2.637000000000000000e+03,1.475000000000000000e+03,1.468000000000000000e+03,5.700000000000000000e+01,1.314000000000000000e+03,6.000000000000000000e+00,8.050000000000000000e+02,3.240000000000000000e+02
5.300063725383859037e+01,4.644000000000000000e+03,1.125000000000000000e+03,2.630000000000000000e+03,1.453000000000000000e+03,1.541000000000000000e+03,6.000000000000000000e+01,1.321000000000000000e+03,6.000000000000000000e+00,8.170000000000000000e+02,3.300000000000000000e+02
5.400091877889131808e+01,4.597000000000000000e+03,1.101000000000000000e+03,2.633000000000000000e+03,1.441000000000000000e+03,1.605000000000000000e+03,6.400000000000000000e+01,1.316000000000000000e+03,6.000000000000000000e+00,8.210000000000000000e+02,3.320000000000000000e+02
5.500126576839162595e+01,4.552000000000000000e+03,1.087000000000000000e+03,2.613000000000000000e+03,1.409000000000000000e+03,1.677000000000000000e+03,7.100000000000000000e+01,1.324000000000000000e+03,6.000000000000000000e+00,8.350000000000000000e+02,3.210000000000000000e+02
5.600019232119260693e+01,4.501000000000000000e+03,1.066000000000000000e+03,2.607000000000000000e+03,1.395000000000000000e+03,1.748000000000000000e+03,7.800000000000000000e+01,1.326000000000000000e+03,6.000000000000000000e+00,8.400000000000000000e+02,3.260000000000000000e+02
5.700072901298263872e+01,4.459000000000000000e+03,1.055000000000000000e+03,2.593000000000000000e+03,1.378000000000000000e+03,1.809000000000000000e+03,8.400000000000000000e+01,1.329000000000000000e+03,6.000000000000000000e+00,8.510000000000000000e+02,3.290000000000000000e+02
5.800002586187693510e+01,4.414000000000000000e+03,1.037000000000000000e+03,2.574000000000000000e+03,1.359000000000000000e+03,1.882000000000000000e+03,9.300000000000000000e+01,1.325000000000000000e+03,6.000000000000000000e+00,8.510000000000000000e+02,3.280000000000000000e+02
5.900012283696724324e+01,4.378000000000000000e+03,1.009000000000000000e+03,2.576000000000000000e+03,1.339000000000000000e+03,1.939000000000000000e+03,9.800000000000000000e+01,1.334000000000000000e+03,6.000000000000000000e+00,8.650000000000000000e+02,3.320000000000000000e+02
6.000140688831186964e+01,4.343000000000000000e+03,9.750000000000000000e+02,2.571000000000000000e+03,1.332000000000000000e+03,2.009000000000000000e+03,1.020000000000000000e+02,1.330000000000000000e+03,6.000000000000000000e+00,8.740000000000000000e+02,3.330000000000000000e+02
6.100150835243251635e+01,4.317000000000000000e+03,9.260000000000000000e+02,2.559000000000000000e+03,1.325000000000000000e+03,2.089000000000000000e+03,1.090000000000000000e+02,1.319000000000000000e+03,6.000000000000000000e+00,8.730000000000000000e+02,3.300000000000000000e+02
6.200194221931010219e+01,4.277000000000000000e+03,9.030000000000000000e+02,2.557000000000000000e+03,1.309000000000000000e+03,2.151000000000000000e+03,1.120000000000000000e+02,1.330000000000000000e+03,6.000000000000000000e+00,8.890000000000000000e+02,3.270000000000000000e+02
6.300154552598336011e+01,4.237000000000000000e+03,9.010000000000000000e+02,2.527000000000000000e+03,1.263000000000000000e+03,2.215000000000000000e+03,1.200000000000000000e+02,1.333000000000000000e+03,6.000000000000000000e+00,8.990000000000000000e+02,3.300000000000000000e+02
6.400054154729124889e+01,4.186000000000000000e+03,8.950000000000000000e+02,2.519000000000000000e+03,1.237000000000000000e+03,2.277000000000000000e+03,1.230000000000000000e+02,1.342000000000000000e+03,6.000000000000000000e+00,9.100000000000000000e+02,3.230000000000000000e+02
6.500074771693913078e+01,4.149000000000000000e+03,8.780000000000000000e+02,2.498000000000000000e+03,1.218000000000000000e+03,2.344000000000000000e+03,1.310000000000000000e+02,1.330000000000000000e+03,6.000000000000000000e+00,9.080000000000000000e+02,3.200000000000000000e+02
6.600104695225459750e+01,4.115000000000000000e+03,8.550000000000000000e+02,2.482000000000000000e+03,1.195000000000000000e+03,2.411000000000000000e+03,1.370000000000000000e+02,1.321000000000000000e+03,6.000000000000000000e+00,9.130000000000000000e+02,3.230000000000000000e+02
6.700135112032120333e+01,4.081000000000000000e+03,8.390000000000000000e+02,2.461000000000000000e+03,1.161000000000000000e+03,2.473000000000000000e+03,1.460000000000000000e+02,1.327000000000000000e+03,6.000000000000000000e+00,9.270000000000000000e+02,3.270000000000000000e+02
6.800036652843130014e+01,4.047000000000000000e+03,8.220000000000000000e+02,2.449000000000000000e+03,1.142000000000000000e+03,2.532000000000000000e+03,1.500000000000000000e+02,1.328000000000000000e+03,6.000000000000000000e+00,9.400000000000000000e+02,3.210000000000000000e+02
6.900235419835495065e+01,4.013000000000000000e+03,8.070000000000000000e+02,2.431000000000000000e+03,1.125000000000000000e+03,2.595000000000000000e+03,1.540000000000000000e+02,1.326000000000000000e+03,6.000000000000000000e+00,9.390000000000000000e+02,3.150000000000000000e+02
7.000113732598273941e+01,3.983000000000000000e+03,7.950000000000000000e+02,2.406000000000000000e+03,1.103000000000000000e+03,2.655000000000000000e+03,1.610000000000000000e+02,1.318000000000000000e+03,6.000000000000000000e+00,9.420000000000000000e+02,3.070000000000000000e+02
