#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Rec Indv, 5: No. Dead Indv, 6: Sev Cases, 7: Hosp Cases, 8:Q Sev Cases, 9: QNS Cases 
3.800000000000000000e+01,9.927000000000000000e+03,1.700000000000000000e+01,3.500000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01
3.900000000000000000e+01,9.925000000000000000e+03,1.700000000000000000e+01,3.000000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01
4.000000000000000000e+01,9.920000000000000000e+03,2.100000000000000000e+01,2.800000000000000000e+01,3.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01
4.100000000000000000e+01,9.920000000000000000e+03,2.000000000000000000e+01,2.700000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01
4.200000000000000000e+01,9.920000000000000000e+03,2.000000000000000000e+01,2.700000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01
4.300000000000000000e+01,9.919000000000000000e+03,2.000000000000000000e+01,2.900000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01
4.400000000000000000e+01,9.918000000000000000e+03,1.800000000000000000e+01,3.100000000000000000e+01,3.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01
4.500000000000000000e+01,9.911000000000000000e+03,2.400000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01
4.600000000000000000e+01,9.908000000000000000e+03,2.600000000000000000e+01,3.200000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01
4.700000000000000000e+01,9.898000000000000000e+03,3.000000000000000000e+01,4.300000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01
4.800000000000000000e+01,9.891000000000000000e+03,3.400000000000000000e+01,4.500000000000000000e+01,4.100000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01
4.900000000000000000e+01,9.880000000000000000e+03,4.100000000000000000e+01,5.000000000000000000e+01,4.200000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01
5.000000000000000000e+01,9.872000000000000000e+03,4.200000000000000000e+01,5.900000000000000000e+01,4.400000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01
5.100000000000000000e+01,9.861000000000000000e+03,4.600000000000000000e+01,6.800000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.500000000000000000e+01
5.200000000000000000e+01,9.856000000000000000e+03,4.500000000000000000e+01,7.100000000000000000e+01,4.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.400000000000000000e+01
5.300000000000000000e+01,9.839000000000000000e+03,5.500000000000000000e+01,7.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,5.100000000000000000e+01
5.400000000000000000e+01,9.832000000000000000e+03,5.500000000000000000e+01,8.100000000000000000e+01,5.200000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01
5.500000000000000000e+01,9.823000000000000000e+03,6.000000000000000000e+01,7.800000000000000000e+01,5.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01
5.600000000000000000e+01,9.807000000000000000e+03,6.700000000000000000e+01,9.100000000000000000e+01,6.200000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01
5.700000000000000000e+01,9.795000000000000000e+03,6.900000000000000000e+01,9.700000000000000000e+01,6.700000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,7.100000000000000000e+01
5.800000000000000000e+01,9.784000000000000000e+03,7.000000000000000000e+01,1.080000000000000000e+02,7.000000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,7.300000000000000000e+01
5.900000000000000000e+01,9.770000000000000000e+03,7.700000000000000000e+01,1.070000000000000000e+02,7.400000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+01
6.000000000000000000e+01,9.760000000000000000e+03,7.700000000000000000e+01,1.140000000000000000e+02,7.800000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
6.100000000000000000e+01,9.745000000000000000e+03,8.500000000000000000e+01,1.150000000000000000e+02,8.400000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.100000000000000000e+01
6.200000000000000000e+01,9.729000000000000000e+03,9.000000000000000000e+01,1.240000000000000000e+02,8.900000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,8.700000000000000000e+01
6.300000000000000000e+01,9.718000000000000000e+03,8.900000000000000000e+01,1.340000000000000000e+02,9.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,6.000000000000000000e+00,9.000000000000000000e+00,9.700000000000000000e+01
6.400000000000000000e+01,9.701000000000000000e+03,9.500000000000000000e+01,1.410000000000000000e+02,9.700000000000000000e+01,1.000000000000000000e+00,4.300000000000000000e+01,6.000000000000000000e+00,1.400000000000000000e+01,1.040000000000000000e+02
6.500000000000000000e+01,9.681000000000000000e+03,1.030000000000000000e+02,1.460000000000000000e+02,1.050000000000000000e+02,1.000000000000000000e+00,4.600000000000000000e+01,6.000000000000000000e+00,1.700000000000000000e+01,1.040000000000000000e+02
6.600000000000000000e+01,9.663000000000000000e+03,1.040000000000000000e+02,1.610000000000000000e+02,1.100000000000000000e+02,1.000000000000000000e+00,4.800000000000000000e+01,6.000000000000000000e+00,1.700000000000000000e+01,1.120000000000000000e+02
6.700000000000000000e+01,9.643000000000000000e+03,1.150000000000000000e+02,1.640000000000000000e+02,1.140000000000000000e+02,1.000000000000000000e+00,5.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+01,1.160000000000000000e+02
6.800000000000000000e+01,9.625000000000000000e+03,1.210000000000000000e+02,1.780000000000000000e+02,1.200000000000000000e+02,1.000000000000000000e+00,5.200000000000000000e+01,6.000000000000000000e+00,2.900000000000000000e+01,1.250000000000000000e+02
6.900000000000000000e+01,9.599000000000000000e+03,1.280000000000000000e+02,2.000000000000000000e+02,1.250000000000000000e+02,1.000000000000000000e+00,5.400000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+01,1.350000000000000000e+02
7.000000000000000000e+01,9.576000000000000000e+03,1.330000000000000000e+02,2.170000000000000000e+02,1.290000000000000000e+02,1.000000000000000000e+00,6.000000000000000000e+01,6.000000000000000000e+00,3.200000000000000000e+01,1.420000000000000000e+02
7.100000000000000000e+01,9.547000000000000000e+03,1.400000000000000000e+02,2.390000000000000000e+02,1.390000000000000000e+02,2.000000000000000000e+00,6.800000000000000000e+01,6.000000000000000000e+00,3.200000000000000000e+01,1.490000000000000000e+02
7.200000000000000000e+01,9.523000000000000000e+03,1.460000000000000000e+02,2.520000000000000000e+02,1.470000000000000000e+02,2.000000000000000000e+00,6.800000000000000000e+01,6.000000000000000000e+00,3.700000000000000000e+01,1.620000000000000000e+02
7.300000000000000000e+01,9.494000000000000000e+03,1.600000000000000000e+02,2.600000000000000000e+02,1.520000000000000000e+02,3.000000000000000000e+00,7.300000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+01,1.670000000000000000e+02
7.400000000000000000e+01,9.472000000000000000e+03,1.620000000000000000e+02,2.740000000000000000e+02,1.570000000000000000e+02,3.000000000000000000e+00,8.000000000000000000e+01,6.000000000000000000e+00,4.500000000000000000e+01,1.810000000000000000e+02
7.500000000000000000e+01,9.460000000000000000e+03,1.560000000000000000e+02,2.790000000000000000e+02,1.690000000000000000e+02,3.000000000000000000e+00,8.000000000000000000e+01,6.000000000000000000e+00,4.500000000000000000e+01,1.940000000000000000e+02
7.600000000000000000e+01,9.451000000000000000e+03,1.560000000000000000e+02,2.600000000000000000e+02,1.800000000000000000e+02,3.000000000000000000e+00,8.000000000000000000e+01,6.000000000000000000e+00,5.100000000000000000e+01,1.980000000000000000e+02
7.700000000000000000e+01,9.438000000000000000e+03,1.520000000000000000e+02,2.670000000000000000e+02,1.900000000000000000e+02,5.000000000000000000e+00,7.900000000000000000e+01,6.000000000000000000e+00,5.200000000000000000e+01,2.080000000000000000e+02
7.800000000000000000e+01,9.411000000000000000e+03,1.600000000000000000e+02,2.800000000000000000e+02,2.020000000000000000e+02,6.000000000000000000e+00,8.200000000000000000e+01,6.000000000000000000e+00,5.500000000000000000e+01,2.170000000000000000e+02
